회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
(주)바딧,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bHBTcUNmSWZjZmVmd2k3SXhPY2FIdz09,임베디드(HW) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49447862,신입 · 경력 · 정규직,학력무관,D-6,"임베디드, H/W, MCU, C++, C언어",186,101000
주식회사바이오팝코리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bEgyV0QrWm1qVnRMb3J0TVBuK1RHdz09,"바이오팝코리아 기술연구소 하드웨어, 분광기술 연구자 구인",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49427528,경력무관 · 정규직,학력무관,D-4,"기술지원, 이미지프로세싱, 임베디드, H/W, 라즈베리파이",186,101000
한국전자기술연구원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RFBPUm1hZVlRN2xwQjU1TXYzSVJsQT09,한국전자기술연구원 전문계약직 연구원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49569138,신입 · 경력 · 계약직,고졸↑,D-2,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",186,101000
(주)네오에이블,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L1Nia1lobW50Zld2cHMwUy84VTh5Zz09,R&D연구개발원 모집 공고(정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49575905,1 ~ 3년 · 정규직,"대학(2,3년)↑",~02.10(월),"라즈베리파이, C++, Python, 연구원, 임베디드",186,101000
(주)리주비놀,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ejhianhvdUxLekhWbkNteVh4QkNHZz09,하드웨어 개발자 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536658,경력 5년↑ · 정규직,대학교(4년)↑,~01.04(토),"영상처리, 컴퓨터비전, RTOS, AI(인공지능), 라즈베리파이",186,101000
(주)에어릭스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bmwrSWU0RVYyb0JJNlg3K3NRVGF1Zz09,[개발팀장] IoT 플랫폼 개발 및 유지보수,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49442158,경력 5년↑ · 정규직,대학교(4년)↑,~01.20(월),"솔루션, IoT, 라즈베리파이, AWS, Docker",186,101000
(주)큐센텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UDBxR2pkYmlOVXB3VnNHN01iZzBQUT09,"(경력) 응용소프트웨어 개발자 정규직 채용 (C#, 델파이등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49513944,3 ~ 15년 · 정규직,고졸↑,~01.02(목),"SI개발, 알고리즘, IoT, .NET, 라즈베리파이",186,101000
㈜리버트론,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aGRnNnRwMDJOSHBEMFVJYTA1eldUQT09,[정규직] 소프트웨어 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49505366,경력무관 · 정규직,대학교(4년)↑,~12.31(화),"기술지원, 백엔드/서버개발, 유지보수, 프론트엔드, SE(시스템엔지니어)",186,101000
,,"연구 개발 채용공고(하드웨어, 기구설계, 펌웨어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49494461,경력 5년↑ · 정규직,대학교(4년)↑,~01.28(화),"앱개발, 임베디드, 펌웨어, H/W, MCU",186,101000
(유)삼송,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NFJzVzB0aTZKNVZNeHdOWjR3TkdKQT09,(유)삼송 SW/HW/SWQA 신입/경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49424005,신입 · 경력 · 정규직,학력무관,D-3,"QA/테스터, H/W, IoT, RTOS, S/W",186,101000
주식회사 몹티콘,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=djB2aVJNYy9INFBOWlRMN0oxMG5CZz09,스마트 교통 시스템/임베디드 S/W 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49414507,경력무관 · 정규직,대학교(4년)↑,D-5,"임베디드, 펌웨어, 라즈베리파이, Linux, 임베디드리눅스",186,101000
포스텍네트웍스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SDJXMDFvY0JHRmYxbjdmWEVRUVhJdz09,LED전광판 SW/HW 개발팀 연구원 정규직 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49356790,경력(년수무관) · 정규직,대학교(4년)↑,~01.06(월),"기술지원, 유지보수, SI개발, 정보통신, H/W",186,101000
커리어커넥트(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Ny9kZ3lmeXlIMzU0RWNGMGNzdGsyZz09,[P] 코스닥 의료장비 임베디드 리눅스 펌웨어 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49581924,경력 10년↑ · 정규직,"대학(2,3년)↑",~01.12(일),"임베디드, 펌웨어, MCU, 인터페이스, 라즈베리파이",186,101000
커리어커넥트(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Ny9kZ3lmeXlIMzU0RWNGMGNzdGsyZz09,[P] 코스닥 의료기기 펌웨어 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49581919,경력 10년↑ · 정규직,"대학(2,3년)↑",~01.12(일),"펌웨어, FPGA, MCU, RTOS, 라즈베리파이",186,101000
(주)넥스트테크,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YnR1SjMwcHBVSDFJWnBFTTNTcjM4UT09,임베디드 개발자 구인합니다 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49498951,신입 · 경력 · 정규직,"대학(2,3년)↑",~12.28(토),"백엔드/서버개발, 웹개발, 임베디드, RTOS, 그누보드",186,108000
(주)엔엔에프텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=M09UdTBXQmd2dnBweDVXUk42eVk2Zz09,소프트웨어 개발자 (사용언어 C),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49541322,신입 · 정규직,고졸↑,~01.05(일),"임베디드, 펌웨어, MCU, RTOS, S/W",186,105000
(주)레인보우로보틱스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZjlzdDNGQTdRVE1GSi9wY2FSVmJsZz09,(주)레인보우로보틱스 연구소 임베디드 SW / 펌웨어 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49373423,2 ~ 5년 · 정규직,석사↑,채용시,"임베디드, 라즈베리파이, 아두이노, 임베디드리눅스, S/W",186,105000
,,(정규직&계약직) Iot/firmware  경력무관 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49397612,경력무관 · 정규직 외,학력무관,상시채용,"앱개발, 웹개발, 임베디드, 펌웨어, IoT",186,105000
,,개발자 [AI·IOT ] /대전근무,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49369794,경력(년수무관) · 정규직 외,대학교(4년)↑,상시채용,"백엔드/서버개발, 웹개발, 머신러닝, 영상처리, 음성인식",186,105000
㈜마루이엔지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VFA4dzNwNEoreGZSS1lWemlXcUxCdz09,[상시채용] 소프트웨어 설계 및 개발 엔지니어 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49480288,경력 2년↑ · 정규직,"대학(2,3년)↑",~12.27(금),"앱개발, 웹개발, 유지보수, 프론트엔드, QA/테스터",186,105000
한국전자기술연구원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RFBPUm1hZVlRN2xwQjU1TXYzSVJsQT09,한국전자기술연구원 전문계약직 연구원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49569138,신입 · 경력 · 계약직,고졸↑,D-2,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",186,113000
알고스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=S2VHUjY2OE9wOWI1OGVHQkx2a0dtdz09,함께 일할 경력 개발자 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49422421,경력 3년↑ · 정규직,"대학(2,3년)↑",D-3,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",186,113000
(주)디엔솔루션즈,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MVNXQWNUOSs1ZlRBM05aMHpwNDBYdz09,2024년 DN솔루션즈 경력사원 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540111,경력 · 정규직,대학교(4년)↑,D-7,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발",320,101000
(주)유플러스아이티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=M0tiRHdsK2xQcHUyc2xxR08xdVZzUT09,[전기차 충전기] 임베디드 리눅스 애플리케이션 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49372307,3 ~ 10년 · 정규직,대학교(4년)↑,채용시,"임베디드, S/W, C++, 임베디드리눅스, API",320,101000
마키타엔지니어링코리아(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZnpxaU5yTCtsMkRMRTZ3QmJ1YWVaZz09,Software/Hardware개발연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49496173&adsCategoryItem=effect_bold&,경력 · 정규직,학력무관,내일마감,"QA/테스터, SE(시스템엔지니어), 알고리즘, 임베디드, 펌웨어",320,101000
(주)디알젬,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Ti9ncXJFYWc3eWZheTJTT3g1MktoQT09,본사 각 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49527658&adsCategoryItem=effect_bold&,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,"앱개발, QA/테스터, SE(시스템엔지니어), 머신러닝, 알고리즘",320,101000
(주)에스티에이테스팅컨설팅,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Ui81RmNpblpZdG5VM2ZiWkFwVFZsQT09,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49578003&adsCategoryItem=effect_bold&,신입 · 경력 · 정규직,"대학(2,3년)↑",~12.24(화),"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발",320,101000
퀄리티아(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SklsK3NvUEQ5dTYxSnFtWGRkbTRLdz09,소프트웨어 기술지원/유지보수 신입/경력(2년이하) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49586121,신입 · 경력 · 정규직,"대학(2,3년)↑",~01.13(월),"기술지원, 백엔드/서버개발, 보안컨설팅, 유지보수, 솔루션",320,101000
(주)에이치에스오코리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Rmxwd0FMeXhqWjlLRFpzQTRybnBoUT09,MS Dynamics ERP 개발자 모집 [HSO 한국지사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49583072,경력 2년↑ · 정규직,"대학(2,3년)↑",~01.12(일),"데이터엔지니어, 백엔드/서버개발, 유지보수, 퍼블리셔, CISO",320,101000
(주)우리기술,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ODluZHM4aGNTNDNjTWlFRHcyUHQwQT09,원자력 HW개발/SW개발/철도사업엔지니어/구매생산 분야 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49523729&adsCategoryItem=effect_bold&,신입 · 경력 · 정규직,대학교(4년)↑,~12.31(화),"백엔드/서버개발, 보안컨설팅, 앱개발, 정보보안, 프론트엔드",320,101000
(주)소테리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dVJhOXlRMVhOQ0xEcENicFVzbzN4UT09,S/W 개발 엔지니어 채용 [ASIC],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49574127,경력 8년↑ · 정규직,대학교(4년)↑,~01.11(토),"블록체인, 알고리즘, 임베디드, 펌웨어, RTOS",320,101000
(주)알에프메디컬,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dTVIN2FFOWJlUDRqSklXdnNxS1JMUT09,의료기기 전자개발 H/W 부문 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49554148,3 ~ 10년 · 정규직,대학교(4년)↑,~01.11(토),"DBA, 임베디드, H/W, OracleDB, SQL",320,101000
(주)소테리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dVJhOXlRMVhOQ0xEcENicFVzbzN4UT09,H/W 개발 엔지니어 채용 [ASIC],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49574119,경력 8년↑ · 정규직,대학교(4년)↑,~01.11(토),"임베디드, H/W, MCU, 그누보드, 임베디드리눅스",320,101000
에스디티(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bEtIK3RvdXNNNEFESHU5bHBsUWxGdz09,[기업부설연구소] DX 솔루션 하드웨어 개발 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49572351,2 ~ 10년 · 정규직,"대학(2,3년)↑",~01.10(금),"임베디드, 펌웨어, H/W, MCU, RTOS",320,101000
(주)알지에이아이엔씨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dzZCY05UTE4vcWY4alo1bWFrSk1OQT09,[RGA Inc.] 로봇 개발 연구원(기구설계/SLAM/AI/SW) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49504152,경력무관 · 정규직,대학교(4년)↑,~01.31(금),"딥러닝, 음성인식, 임베디드, 자율주행, S/W",320,101000
(주)알지에이아이엔씨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dzZCY05UTE4vcWY4alo1bWFrSk1OQT09,[RGA Inc.] 로봇 소프트웨어 플랫폼(책임/선임급) 개발 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49552431,경력무관 · 정규직,대학교(4년)↑,~01.31(금),"S/W, 임베디드리눅스, 로봇엔지니어, 개발PM, 네트워크",320,101000
(주)알지에이아이엔씨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dzZCY05UTE4vcWY4alo1bWFrSk1OQT09,[RGA Inc.] 로봇 AI 음성(책임/선임급) 개발 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49552644,경력무관 · 정규직,석사↑,~01.31(금),"음성인식, NLP(자연어처리), NLU(자연어이해), STT, TTS",320,101000
(주)한싹,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RDExRU45aTViUEpZamdwV0pwNXllQT09,기술 엔지니어[솔루션 구축/교육/점검] 및  솔루션연구소 S/W 연구개발자(웹개발) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49552983,신입 · 경력 · 정규직,"대학(2,3년)↑",~12.24(화),"데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 웹개발, 웹마스터",320,101000
(주)유니트론텍,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SWJGTmxSUE11blBIR0VFL1ZtYlBxUT09,기업부설연구소 Application개발자 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49583774,3 ~ 12년 · 정규직,대학교(4년)↑,채용시,"미들웨어, 플러그인, 임베디드리눅스, 자율주행, H/W",320,101000
퍼솔켈리코리아(유),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eGk1Y2lpcWZ1d0JYTndINTh1Vk8rdz09,[여의도/중국계기업] Field Service Engineer(신입가능/언어무관,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49419883,경력무관 · 계약직 외,대학교(4년)↑,채용시,"기술지원, 백엔드/서버개발, 유지보수, 정보보안, SE(시스템엔지니어)",320,101000
(주)엑스오비스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cldka05Hc1JGSjRxdHVpZ0ROcXh2UT09,Physical Computing 개발 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49568628,2 ~ 6년 · 정규직,대학교(4년)↑,~01.09(목),"임베디드, H/W, 임베디드리눅스, S/W",320,101000
(주)비알랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QU11K1liWkxnd1FFZFQ3dGZsbVg0Zz09,임베디드 Embedded ARM Linux,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49510642,7 ~ 20년 · 정규직,대학교(4년)↑,~12.31(화),"임베디드, H/W, S/W, C++, C언어",320,101000
(주)비알랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QU11K1liWkxnd1FFZFQ3dGZsbVg0Zz09,하드웨어 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49510501,7 ~ 20년 · 정규직,대학교(4년)↑,~12.31(화),"임베디드, H/W, 임베디드리눅스, PCB, 솔루션",320,101000
(주)비전테크,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YUphdWc4YXA2Mzl1cDJvUWdnakgxZz09,[방화벽] (서울)보안엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49535292,경력 3년↑ · 정규직,"대학(2,3년)↑",~01.04(토),"네트워크, 방화벽, 솔루션, DLP, VPN",320,101000
에스디티(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bEtIK3RvdXNNNEFESHU5bHBsUWxGdz09,[강남/선릉][기업부설연구소] 하드웨어 설계 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49417951,2 ~ 10년 · 정규직,"대학(2,3년)↑",D-2,"임베디드, H/W, 임베디드리눅스, OrCAD, 생산",320,101000
에스디티(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bEtIK3RvdXNNNEFESHU5bHBsUWxGdz09,[기업부설연구소] DX 솔루션 펌웨어(F/W) 개발 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49520932,1 ~ 10년 · 정규직,"대학(2,3년)↑",~01.02(목),"임베디드, 펌웨어, H/W, MCU, RTOS",320,101000
(주)칩스앤미디어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y0JzZzE0dzhHaFl6OXJVb1RFdDNsQT09,[대구연구소] 반도체 RTL Engineer (경력직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576286,5 ~ 16년 · 정규직,대학교(4년)↑,~01.14(화),"SE(시스템엔지니어), 이미지프로세싱, 임베디드, FPGA, H/W",320,101000
(주)칩스앤미디어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y0JzZzE0dzhHaFl6OXJVb1RFdDNsQT09,[반도체IP 개발사] RTL Design/Verification Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576279,9 ~ 16년 · 정규직,대학교(4년)↑,~01.14(화),"웹개발, SE(시스템엔지니어), 임베디드, FPGA, H/W",320,101000
(주)칩스앤미디어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Y0JzZzE0dzhHaFl6OXJVb1RFdDNsQT09,FW Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576269,9 ~ 16년 · 정규직,대학교(4년)↑,~01.14(화),"임베디드, 펌웨어, H/W, C++, C언어",320,101000
큐어스트림(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZUR1ak1pbExPNlRlbHZtVTV4eEtzZz09,SW개발팀 채용(프론트앤드&Firmware&SW QA & SW RA),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49576137,신입 · 경력 · 정규직,학력무관,~02.10(월),"앱개발, 웹표준·웹접근성, 임베디드, 크로스브라우징, MCU",320,101000
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,임베디드 소프트웨어개발 엔지니어 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542513,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,임베디드 소프트웨어 테스트 엔지니어 모집(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542537,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,임베디드 소프트웨어 테스트 엔지니어 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542728,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
