회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,임베디드 소프트웨어개발 엔지니어 모집(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542371,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,Automotive SPICE & ISO 26262 모집(신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542839,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
(주)세온이앤에스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=K1M2Wk5HNFJLMWhacDdtZFdsNmxnZz09,Automotive SPICE & ISO 26262 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49542908,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, SE(시스템엔지니어)",320,101000
(주)인티그리트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZFJmWkFkV3FzaGl0ckpMY1RHSGpnZz09,"[지능형 로보틱스 플랫폼] AI 플랫폼,디바이스S/W, 펌웨어 개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49556133,신입 · 경력 · 정규직,학력무관,~01.08(수),"딥러닝, 머신러닝, 솔루션, 임베디드, 자율주행",320,101000
,,(주)하이파킹 주차장 개발자 채용(Mobility Hub Platform),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49459393,경력무관 · 정규직,대학교(4년)↑,~12.25(수),"백엔드/서버개발, 웹개발, 프론트엔드, 네트워크, 데이터시각화",320,101000
리얼텍코리아(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SFJrSlNPSGRUL2piRFhVT1JveTltZz09,IoT SW엔지니어 (FAE) 경력채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49318097,3 ~ 10년 · 정규직,대학교(4년)↑,~12.31(화),"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발",320,101000
새솔테크(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V1JmdENhY1FtZWYreTcxWXM4cHZZdz09,[새솔테크] 임베디드 보안 소프트웨어 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49461092,경력 5년↑ · 정규직,대학교(4년)↑,채용시,"임베디드, C#, C++, C언어, Linux",320,101000
(주)엠쓰리모바일,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RGpyRExYcGNtU295clltZ1pLQjdCUT09,(주)엠쓰리모바일 HW팀 RF엔지니어담당 경력직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49565456,5 ~ 7년 · 정규직,대학교(4년)↑,~01.10(금),"SE(시스템엔지니어), 네트워크, 음성인식, 임베디드, 정보통신",320,101000
캐논코리아 주식회사,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=U0dVcGtWbXI4T0s2MlhCS2FjK0RqZz09,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524700,신입 · 인턴직,대학교(4년)↑,23시 마감,"데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발, 웹개발",320,101000
(주)하이로닉,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NHZKbDM5WFZicTMrM250VEJpS3FCdz09,코스닥 상장사] 각 분야 인재 모집 (신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539105,신입 · 경력 · 정규직,"대학(2,3년)↑",D-5,"임베디드, 정보통신, 펌웨어, MCU, S/W",320,101000
(주)코어시큐리티,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NEtiYkpzdi94L1RsWEl0M0k0VUNUdz09,위협기술연구 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49554749,신입 · 경력 · 정규직,고졸↑,~01.07(화),"기술지원, 데이터분석가, 보안컨설팅, 정보보안, 모의해킹",320,101000
,,임베디드(펌웨어) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555469,1 ~ 20년 · 정규직,학력무관,~01.07(화),"SE(시스템엔지니어), 임베디드, H/W, MCU, Linux",320,101000
(주)한영넉스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aEFKVlIzcHZwM1hMVlJSUXJaZXh2Zz09,한영넉스 AI연구소 - Python 어플리케이션 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49564746,경력 3년↑ · 정규직,대학교(4년)↑,~01.09(목),"Windows, C++, 임베디드리눅스, 임베디드, C#",320,101000
주식회사 엠티오메가,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cjRwSmZ6aDVqY0FFWFB6N1E4S2Ntdz09,차량용 전자 제품의 SW 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49560566,10 ~ 19년 · 정규직,대학교(4년)↑,~01.09(목),"C++, C언어, 임베디드리눅스, 펌웨어",320,101000
(주)디퍼아이,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Z3I5aDN5UXovSjdhUmREODVmRW9IQT09,[디퍼아이] 인공지능 딥러닝 임베디드 SW 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49273625,경력무관 · 정규직,학력무관,~12.24(화),"앱개발, 웹개발, 프론트엔드, 데이터라벨링, 딥러닝",320,101000
(주)테솔로,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ays0dlhWcWl1YjNwUGx4WjVRaFdodz09,로봇/로보틱스 임베디드 엔지니어(인턴/신입/경력/전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49472130,신입 · 경력 · 정규직 외,대학교(4년)↑,~12.31(화),"알고리즘, 임베디드, 펌웨어, API, H/W",320,101000
(주)테솔로,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ays0dlhWcWl1YjNwUGx4WjVRaFdodz09,로봇/로보틱스 S/W 엔지니어 모집(인턴/신입/경력/전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49472136,신입 · 경력 · 정규직 외,대학교(4년)↑,~12.31(화),"백엔드/서버개발, SE(시스템엔지니어), SI개발, 알고리즘, 임베디드",320,101000
(주)제이씨에프테크놀러지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RWI1YmxqanhhTHB3b0JOaGZ0akpPUT09,임베디드 Linux 응용 S/W BSP 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49557321,5 ~ 10년 · 정규직,"대학(2,3년)↑",~01.08(수),"임베디드리눅스, R&D, 임베디드, S/W, C++",320,101000
(주)포인트모바일,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eDF1VzBmN0xqenZWWXhGcEJXL1BGZz09,모바일 결제 솔루션 개발자 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49555466,신입 · 경력 · 정규직,대학교(4년)↑,~01.08(수),"앱개발, 정보보안, 프론트엔드, SE(시스템엔지니어), 임베디드",320,101000
(주)럭스로보,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=dXJUdkZWMm1IYnZ1ejFleWQxbkpSQT09,FW개발자(차량제어시스템),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540218,2 ~ 12년 · 정규직,대학교(4년)↑,~01.05(일),"임베디드, H/W, C++, C언어, Git",320,101000
현대오토에버(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TVUrT2lHWkZvZGZWU1RmQ2N6K1RMQT09,차량SW · ICT · 경영지원 부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47669139,경력 · 정규직 외,학력무관,상시채용,"기술지원, 데이터분석가, 백엔드/서버개발, 보안컨설팅, 정보보안",320,101000
(주)큐드,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aUZlTUJnblBmbHloYW9tK2d2Smg1dz09,지역별 S/W 테스트 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49465621,경력 · 정규직,"대학(2,3년)↑",오늘마감,"기술지원, 데이터엔지니어, 백엔드/서버개발, 유지보수, QA/테스터",320,101000
아우토크립트(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OE4xc2N4QUhjZUtyQ1B2MEwyR0xxZz09,기술지원 리더,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536592,경력 5년↑ · 정규직,대학교(4년)↑,~02.03(월),"기술지원, 네트워크, 임베디드, C++, Java",320,101000
오션스바이오(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Zmt2WTY0Vk1IMkQ0Ukkra1RBdXExQT09,[경력] 의료기기 회로설계 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540524,3 ~ 10년 · 정규직,대학교(4년)↑,~01.04(토),"임베디드, H/W, MCU, 임베디드리눅스, 회로설계",320,101000
오션스바이오(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Zmt2WTY0Vk1IMkQ0Ukkra1RBdXExQT09,[경력] 의료기기 펌웨어 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49540562,3 ~ 10년 · 정규직,대학교(4년)↑,~01.04(토),"임베디드, 펌웨어, H/W, C언어, 임베디드리눅스",320,101000
(주)니어스랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cUNDdzE1b3RvdjAvRUUwNjlFTGMwUT09,임베디드 소프트웨어 엔지니어(센서 통합),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49541593,3 ~ 10년 · 정규직,대학교(4년)↑,~01.05(일),"SE(시스템엔지니어), 임베디드, H/W, MCU, S/W",320,101000
(주)니어스랩,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cUNDdzE1b3RvdjAvRUUwNjlFTGMwUT09,임베디드 소프트웨어 엔지니어(카메라&통신 모듈),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49541581,3 ~ 10년 · 정규직,대학교(4년)↑,~01.05(일),"임베디드, FPGA, H/W, MCU, S/W",320,101000
(주)씨브이네트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bmQwdGFjL0lVSlIwb01UbGFpL1VpZz09,[삼성계열사] 임베디드 S/W (안드로이드),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49535753,3 ~ 20년 · 정규직,대학교(4년)↑,~01.03(금),"앱개발, SE(시스템엔지니어), 임베디드, H/W, S/W",320,101000
(주)코라스로보틱스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L25VTkJRbS9wYXN2NS9tZFhHODJkdz09,(HW) 로봇  하드웨어 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49527337,신입 · 경력 · 정규직,대학교(4년)↑,~01.02(목),"임베디드, H/W, 임베디드리눅스, CAD",320,101000
(주)모빌린트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MXVlRDFrb2dtb3krZ042aTA5aU0rZz09,[전문연구원 가능] SoC Design Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49524460,신입 · 경력 · 정규직,대학교(4년)↑,~01.02(목),"웹개발, 임베디드, FPGA, H/W, C++",320,101000
(주)오버컴테크,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=REdDY3hLM1dkUE9lRlJGUFpJWmoxZz09,"[하드웨어[HW], FPGA] 기업부설연구소 HW 연구원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49520941,신입 · 경력 · 정규직,학력무관,~01.02(목),"임베디드, FPGA, H/W, 임베디드리눅스, 시스템설계",320,101000
(주)리주비놀,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ejhianhvdUxLekhWbkNteVh4QkNHZz09,하드웨어 개발자 (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536658,경력 5년↑ · 정규직,대학교(4년)↑,~01.04(토),"영상처리, 컴퓨터비전, RTOS, AI(인공지능), 라즈베리파이",320,101000
(주)픽젠,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzRSbGNPMnpyUFBVR0l5QmVZd0I1Zz09,[테헤란로]  펌웨어 Firmware 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536582,경력 7년↑ · 정규직,"대학(2,3년)↑",~01.19(일),"임베디드, 펌웨어, FPGA, H/W, RTOS",320,101000
(주)픽젠,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzRSbGNPMnpyUFBVR0l5QmVZd0I1Zz09,[테헤란로]  전자분야 hardware 연구원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49536564,경력 7년↑ · 정규직,"대학(2,3년)↑",~01.19(일),"임베디드, 펌웨어, FPGA, H/W, RTOS",320,101000
(주)지슨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Mk1IN1EyOWRNcW5jMlM1Z0dST3NPZz09,2024년 연구 개발 (임베디드 시스템),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49535081,경력 3년↑ · 정규직,학력무관,상시채용,"임베디드, Linux, 임베디드리눅스, 기술연구, S/W",320,101000
(주)로보티즈,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=U1RmUDhEQ2tTb0dGZXNOSnB5clp4dz09,[로보티즈] 임베디드 FW 신규 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49532944,경력무관 · 정규직 외,대학교(4년)↑,채용시,"임베디드, FPGA, MCU, RTOS, C언어",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[DRAM PHY] Silicon Validation Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519322,5 ~ 15년 · 정규직,학력무관,~01.01(수),"임베디드, H/W, C언어, Python, 임베디드리눅스",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[Network-on-Chip] RTL Design Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519363,8 ~ 15년 · 정규직,학력무관,~01.01(수),"웹개발, 프론트엔드, 임베디드, H/W, C언어",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[Memory Controller] RTL Design Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519333,4 ~ 15년 · 정규직,대학교(4년)↑,~01.01(수),"임베디드, H/W, C++, C언어, Python",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[DRAM PHY] Digital Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519329,8 ~ 15년 · 정규직,학력무관,~01.01(수),"임베디드, H/W, C언어, Python, 임베디드리눅스",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[DRAM PHY] Layout Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519356,4 ~ 15년 · 정규직,대학교(4년)↑,~01.01(수),"임베디드, H/W, C언어, Python, 임베디드리눅스",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[System Architect] Topology Design & Technical Support Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519321,신입 · 경력 · 정규직,학력무관,~01.01(수),"기술지원, 임베디드, H/W, Python, 임베디드리눅스",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[Verification] IP Verification Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519229,4 ~ 14년 · 정규직,학력무관,~01.01(수),"임베디드, H/W, C++, C언어, Python",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[NPU] Linux Device Driver Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519340,신입 · 경력 · 정규직,석사↑,~01.01(수),"SE(시스템엔지니어), 딥러닝, 머신러닝, 빅데이터, 임베디드",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[DRAM PHY] Analog Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519255,4 ~ 15년 · 정규직,대학교(4년)↑,~01.01(수),"임베디드, H/W, C언어, Python, 임베디드리눅스",320,101000
오픈엣지테크놀로지(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OWQ2YU82aGE2KzJsSi9lQmc3ZkRSUT09,[DRAM PHY] SI/PI Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49519245,신입 · 경력 · 정규직,학력무관,~01.01(수),"임베디드, H/W, C언어, Python, 임베디드리눅스",320,101000
(주)애니랙티브,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b2M2dVRhMk5wN3Q3dUoyc0J3ZmM1dz09,임베디드 시스템 개발자 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49497930,신입 · 경력 · 정규직,"대학(2,3년)↑",~01.01(수),"SE(시스템엔지니어), 임베디드, 펌웨어, H/W, C++",320,101000
우나스텔라(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=S0FHNk1jQVdtYk03blZQVTRUejJzQT09,[우나스텔라] 발사체 시스템 소프트웨어 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49522734,신입 · 경력 · 정규직,대학교(4년)↑,~01.07(화),"임베디드, 펌웨어, H/W, MCU, RTOS",320,101000
(주)엔에스티정보통신,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aTFTbjVaT3hRUUZFWWIreG4zSUFsQT09,시스템 프로그래밍 중급 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49508116,5 ~ 7년 · 정규직,학력무관,~12.31(화),"SE(시스템엔지니어), 네트워크, 임베디드, H/W, Linux",320,101000
(주)클레,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MlU1eXBjN1I3ZWVxaGgwT2gyOVUxdz09,3차원 카메라 하드웨어 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49507003,4 ~ 10년 · 정규직,학력무관,~01.02(목),"임베디드, H/W, 임베디드리눅스, OrCAD, 기구설계",320,101000
(주)엔에스티정보통신,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aTFTbjVaT3hRUUZFWWIreG4zSUFsQT09,시스템 프로그래밍 고급 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49508132,10 ~ 15년 · 정규직,학력무관,~12.31(화),"SE(시스템엔지니어), 네트워크, 임베디드, H/W, Linux",320,101000
(주)엔에스티정보통신,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aTFTbjVaT3hRUUZFWWIreG4zSUFsQT09,시스템 프로그래밍 초급 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49508114,2 ~ 4년 · 정규직,학력무관,~12.31(화),"SE(시스템엔지니어), 네트워크, 임베디드, H/W, Linux",320,101000
알피니언메디칼시스템,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=aHZsbnBXT3pYYW1TamdjZCtzVi9Idz09,초음파 진단기 HW개발_아날로그/파워 책임급 채용 [일진그룹 계열사],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49504335,8 ~ 13년 · 정규직,대학교(4년)↑,~12.31(화),"임베디드, H/W, 임베디드리눅스, 생산, PCB",320,101000
